, URL, Name, isSecure, Sport,
,greaternewbedfordyouthlacrosse.com,New Bedford Youth Lacrosse,false,Lacrosse,
,greenlandrec.com,Greenland Recreation Dept,false,Football,
,greenwarriorssoccer.com,Green Warriors Soccer,false,Soccer,
,greenwichblueshockey.com,Greenwich Cardinals Youth Hockey Association,false,Hockey,
,greenwichjuniorbaberuth.org,error opening web page,
,greenwichsoftball.org,Greenwich Softball Organization Inc.,false,Softball,
,grovelandsoccer.org,Groveland Youth Soccer,false,Soccer,
,guilfordfootball.com,Guilford High School Football Touchdown Club,false,Football,
,gvsll.com,Goleta Valley South Little League,false,,
,haddonfieldbasketball.com,Haddonfield Youth Basketball Association,false,Basketball,
,hamburghawks.org,Hamburg Hawks Hockey Association,false,Hockey,
,hanoverhockey.com,Hanover Youth Hockey Association,false,Hockey,
,hanoverlacrosse.com,Friends of Hanover Lacrosse,false,Lacrosse,
,hansonyouthfootball.org,error opening web page,
,harrisonlittleleague.org,Harrison Little League,false,Baseball,
,hartfordjrwolfpackyouth.com,Hartford Junior Wolfpack Youth,false,,
,harvardlacrosse.org,HAA Youth Lacrosse,false,Lacrosse,
,harvardlax.org,HAA Youth Lacrosse,false,Lacrosse,
,harwintonsports.com,Harwinton Youth Sports Association,false,,
,heartwellbaseball.com,Heartwell Baseball Inc,false,Baseball,
,hebronsoccer.org,error opening web page,
,herefordlacrosseclub.com,Hereford Lacrosse,false,Lacrosse,
,herefordyouthfootball.com,Hereford Youth Football,false,Football,
,hhs-basketball.com,Huntsville High Panther Basketball,false,Basketball,
,hhspantherfootball.com,HHS Panther Football,false,Football,
,highlaneclub.com,error opening web page,
,hillsboroughfootball.com,Hillsborough Raiders Football,false,Football,
,hillsboroughlacrosse.com,Hillsborough Lacrosse,false,Lacrosse,
,hillsboroughlax.com,Hillsborough Lacrosse,false,Lacrosse,
,hiltonraiders.org,error opening web page,
,hnmcroton.com,Holy Name of Mary Croton,false,Basketball,
,hobokenlacrosseclub.com,Hoboken Lacrosse Club,false,Lacrosse,
,hockeyatproskate.com,error opening web page,
,hollistonyouthhockey.org,Demons Youth Hockey,false,Hockey,
,holyokealliesbaseball.com,Holyoke Allies Baseball Club,false,Baseball,
,holyokegirlssoftball.com,Holyoke Youth Girls Softball League,false,Softball,
,holyrosaryraidersbasketball.com,Holy Rosary Raiders Basketball,false,Basketball,
,homerstallions.com,Homer Stallions,false,Football,
,honfl.com,Herndon Optimist Youth Flag Football League,false,Football,
,hopeplays.org,Hope Online Learning Academy,false,,
,horshamgirlslacrosseclub.com,Horsham Girls Lacrosse Club,false,Lacrosse,
,horshamlacrosseclub.com,Horsham Lacrosse Club,false,Lacrosse,
,hpycjs.org,HPYC Junior Sailing,false,,
,hract.net,HOCKEY REFEREE ASSOCIATION OF CT,false,,
,hsabaseball.com,Lowell Highland Sports Association,false,Softball,
,hudsonvilleyouthfootball.com,Hudsonville Youth Football,false,Football,
,hunterdonmohawklacrosse.com,error opening web page,
,huntingtonboosterclub.com,Huntington Booster Club,false,,
,huynhduc.net,error opening web page,
,hvexpresslax.com,error opening web page,
,hvhsiha.org,Hudson Valley HS Ice Hockey Assoc.,false,Hockey,
,iceattheparkshockey.com,ICE at The Parks Hockey Department,false,Hockey,
,iceforumhockey.com,IceForum Hockey Association,false,Hockey,
,idahooutlawlacrosse.com,error opening web page,
,iflacrosse.com,Idaho Falls Youth Lacrosse,false,Lacrosse,
,igivelax.com,igivelax,false,Lacrosse,
,ihmbasketball.org,IHM CYO Basketball,false,Basketball,
,ihrecsports.com,Indian Hill Recreation Commission,false,Softball,
,indianagirlslacrosse.com,Indiana Girls Lacrosse Association,false,Lacrosse,
,indianayouthlacrosse.org,error opening web page,
,infoskillhub.com,error opening web page,
,integratedsportstraining.com,IST Sports Headquarters,false,Lacrosse,
